test,architecture,B,Tr,Tr_sd,Td,PRLS,l70,K
forward,A clonal rho=0 (baseline),0.0,47.889,0.468,50.40,2.51,0.225,900
forward,A clonal rho=0 (baseline),1.0,47.421,0.113,49.80,2.38,0.212,900
forward,A clonal rho=0 (baseline),3.0,47.584,0.442,50.09,2.51,0.219,900
forward,A clonal rho=0 (baseline),6.0,47.663,0.022,54.45,6.79,0.311,900
forward,B clonal pleiotropy rho=-0.6,0.0,47.742,0.619,50.08,2.34,0.214,900
forward,B clonal pleiotropy rho=-0.6,1.0,47.803,0.402,50.84,3.04,0.230,900
forward,B clonal pleiotropy rho=-0.6,3.0,47.514,0.786,49.97,2.46,0.205,900
forward,B clonal pleiotropy rho=-0.6,6.0,47.453,0.613,51.31,3.86,0.234,900
forward,C sexual modular rho=0,0.0,48.728,0.396,55.95,7.23,0.357,900
forward,C sexual modular rho=0,1.0,49.287,0.195,55.72,6.43,0.348,900
forward,C sexual modular rho=0,3.0,48.696,0.073,54.68,5.99,0.322,900
forward,C sexual modular rho=0,6.0,49.302,0.361,54.34,5.04,0.316,900
forward,D sexual pleiotropy rho=-0.6,0.0,49.088,0.333,54.19,5.10,0.311,900
forward,D sexual pleiotropy rho=-0.6,1.0,49.228,0.340,56.91,7.68,0.376,900
forward,D sexual pleiotropy rho=-0.6,3.0,49.094,0.031,56.53,7.44,0.361,900
forward,D sexual pleiotropy rho=-0.6,6.0,49.469,0.003,55.03,5.56,0.328,900
reversion,A clonal rho=0 (baseline),1.0,42.629,0.448,,,,900
reversion,A clonal rho=0 (baseline),6.0,35.485,0.753,,,,900
reversion,B clonal pleiotropy rho=-0.6,1.0,44.698,0.394,,,,900
reversion,B clonal pleiotropy rho=-0.6,6.0,37.985,1.839,,,,900
reversion,C sexual modular rho=0,1.0,48.319,0.015,,,,900
reversion,C sexual modular rho=0,6.0,45.871,0.618,,,,900
reversion,D sexual pleiotropy rho=-0.6,1.0,48.573,0.380,,,,900
reversion,D sexual pleiotropy rho=-0.6,6.0,47.598,0.381,,,,900
